UID,Name,Score,usecMemTest,usecOpcodes,usecVidMem,usecMemEA,usec3DGames,CPU,MHz,BIOS Info,BIOS Date,BIOS CRC16,Video Subsystem,Video Adapter,Description,Submitter
UID8D65DF6B0,"Vendex Headstart II (4.77 Mhz)",4,3655,1773,2479,1966,1889,Intel 8088,4.77,"Copyright (c) Award Software Inc. (03/18/89, rev. 2)",19890318,8D65,CGA,"CGA","Vendex Headstart II in 4.77 Mhz Mode","Chris Martin"
UID85086DB6,"Tandy 1000",4,3823,1833,2148,2028,1922,Intel 8088,4.77,"unknown",19850305,8508,CGA,"Tandy 1000"," "," "
UID84F5F0,"XT clone (TurboXT)",4,3801,1764,2339,1949,1873,Intel 8088,4.77,"(C)Award 1986 IBM COMPATIBLE (01/30/87, rev. 0)",19870130,084F,VGA,"VGA, ATI 28800-5VGAWonderBios : 0.1, 256kb Video Memory (BIOS)"," "," "
UIDB22D9F2,"Leading Edge Model D (4.77 MHz)",4,3784,1754,2342,1935,1858,Intel 8088,4.77,"Copyright (c) 1984,1985,1986 Phoenix Technologies Ltd (11/21/86, rev. 0)",19861121,B22D,MDA,"Internal Hercules and CGA Compatible","Switches set to 4.77 MHz and Mono","trixter@oldskool.org"
UIDD41404,"NCR PC4",4,3774,1744,2345,1935,1846,Intel 8088,4.77,"NCR COPR. 1984 (06/03/85, rev. 0)",19850603,0D41,MDA,"MDA"," "," "
UID3B85589,"IBM PC 5150",4,3771,1744,2324,1926,1846,Intel 8088,4.77,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,MDA,"MDA"," ","Great Hierophant"
UID9485166518,"IBM PC/XT (enhanced)",4,3774,1753,2296,1935,1848,Intel 8088,4.77,"COPR. IBM 1986 (01/10/86, rev. 1)",19860110,9485,MDA,"MDA"," ","trixter@oldskool.org"
UIDCB6B9DE,"IBM PC/XT",4,3778,1744,2289,1926,1851,Intel 8088,4.77,"COPR. IBM 1982 (11/08/82, rev. 0)",19821108,CB6B,VGA,"VGA, ATI 18800-1VGAWonderBios : 1.1, 256kb Video Memory (BIOS)","Standard IBM XT with rev. 0 motherboard and the first BIOS","per (VCF)"
UID3B8544F,"IBM PC 5150",4,3774,1744,2287,1926,1851,Intel 8088,4.77,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,MDA,"Hercules"," ","Great Hierophant"
UID95CB9133,"Commodore PC10-III",4,3655,1773,2298,1966,1889,Intel 8088,4.77,"Copyright 1987,1988 Commodore Electronics Ltd. (09/08/88, rev. 0)",19880908,95CB,CGA,"CGA","ctrl+alt+s (slow mode)","wormetti@gmail.com twitter.com/wormetti"
UID907D16B95A,"Panasonic Executive Partner",4,3807,1881,1707,2087,1963,Intel 8086,4.77,"Copyright Matsushita Electric Industrial Co.,Ltd. 1984, 1985",20000101,907D,CGA,"CGA"," ","trixter@oldskool.org"
UID989015B1,"Tandy 1000 SX (4.77MHz)",4,3742,1770,2082,1962,1883,Intel 8088,4.77," ",19860714,9890,CGA,"Tandy 1000"," ","Great Hierophant"
UID44F215818A,"IBM PCjr (memory expansion)",4,3579,1660,2578,1811,1773,Intel 8088,4.77,"COPR. IBM 1981,1983PS (06/01/83, rev. 0)",19830601,44F2,CGA,"IBM PCjr","IBM PCjr running in the faster RAM of the memory expansion","trixter"
UIDB7F3D52,"XT clone (TurboXT) (4.77 MHz)",4,3678,1739,2008,1918,1837,Intel 8088,4.77,"(C)Award 1986 IBM COMPATIBLE (01/30/87, rev. 0)",19870130,B7F3,VGA,"Realtek RTG3106 SVGA 512kb","TurboXT Clone board, 4.77 Mhz, Realtek RTG3106 SVGA 512kb"," "
UID309D1458,"IBM PC Convertible",5,3573,1647,2010,1804,1766,Intel 8088,4.77,"COPR. IBM 1985 (09/13/85, rev. 0)",19850913,309D,CGA,"CGA"," ","mbbrutman"
UIDD413A7,"NCR PC4 (NEC V20)",5,2478,1511,1775,1860,1394,NEC V20,4.77,"NCR COPR. 1984 (06/03/85, rev. 0)",19850603,0D41,MDA,"MDA"," "," "
UID9890A1D3,"Tandy 1000 EX",6,2785,1424,1666,1628,1459,Intel 8088,7.16," ",19860714,9890,CGA,"Tandy 1000"," ","trixter@oldskool.org"
UID7F5C3AF,"IBM PCjr (memory expansion, NEC V20)",6,2415,1463,1877,1777,1348,NEC V20,4.77,"COPR. IBM 1981,1983 (06/01/83, rev. 71)",19830601,7F5C,CGA,"IBM PCjr"," ","trixter@oldskool.org"
UID9890FEE,"Tandy 1000 SX",6,2732,1392,1731,1584,1435,Intel 8088,7.16," ",19860714,9890,CGA,"Tandy 1000"," ","Great Hierophant"
UID3B85D3F,"IBM PC 5150 (NEC V20)",6,2481,1510,1537,1858,1396,NEC V20,4.77,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video, 8-Bit-ROMfixed-sync, 256kb Vi"," ","JDT"
UID70044986,"Victor Technologies Vicki",6,2458,1138,2085,1254,1216,Intel 8088,7.16," ",19880730,7004,VGA,"VGAChips&Technologies 82c451Rev : 5, 6-Bit DAC, 256kb Video Memo","Victor Technologies Vicki: 8088 desktop, 640K RAM, 10 MB MFM. It has two 8-bit ISA slots filled with 3rd party VGA + NIC. It runs Victor branded MS-DOS 4.01, hate it or like it...","Carlsson (VCF)"
UID95CB4D0B,"Commodore PC10-III",6,2469,1175,1744,1302,1252,Intel 8088,7.16,"Copyright 1987,1988 Commodore Electronics Ltd. (09/08/88, rev. 0)",19880908,95CB,CGA,"CGA","ctrl+alt+t (turbo mode)","wormetti@gmail.com twitter.com/wormetti"
UIDB22D5FB9,"Leading Edge Model D (7.16 MHz)",6,2498,1185,1660,1298,1251,Intel 8088,7.16,"Copyright (c) 1984,1985,1986 Phoenix Technologies Ltd (11/21/86, rev. 0)",19861121,B22D,MDA,"Internal Hercules and CGA compatible","Switches set to 7.16 MHz and Mono","trixter@oldskool.org"
UID50472959A,"XT Clone (Zenith Z-159 @8MHz)",6,2307,1087,2113,1210,1141,Intel 8088-2,8,"Copyright (C) 1986, by Zenith Data Systems (",20000101,5047,EGA,"Paradise PEGA 1A","A British Telecom rebadge of a Z-159 in turbo mode running DOS 3.2","brassicGamer (VCF)"
UIDF341B18,"Amstrad PC1512",6,2024,787,2961,1034,879,Intel 8086,8,"(C) Copyright 1986 Amstrad Consumer Electronics plc",20000000,0F34,CGA,"CGA"," ","b44ccd21 (VCF)"
UIDF9D031C,"Tandy 1000 HX",7,2033,1231,1265,1600,1142,NEC V20,7.16,"Copyright (C) 1984,1985,1986,1987 (06/01/87, rev. 100)",19870601,F9D0,CGA,"Tandy 1000","640kb memory, ROM 2.00.00, with a 2400 baud dialup modem. Go ahead - laugh - it came with the machine, dangit!!","Maverik1978 (VCF)"
UID8BFF234CA,"Philips P3105 (Turbo speed)",7,2231,1056,1578,1161,1115,Intel 8088,8,"unknown",19871021,8BFF,CGA,"ATi Small Wonder V1"," "," "
UID44F2897,"IBM PCjr (memory expansion, 8MHz)",7,2157,1007,1601,1102,1068,Intel 8088,8,"COPR. IBM 1981,1983 (06/01/83, rev. 0)",19830601,44F2,CGA,"IBM PCjr"," ","hexsane (VCF)"
UIDBC8413E9CE,"Compaq Deskpro",7,2166,863,1754,1112,963,Intel 8086,7.16,"CRJ (C)Copyright COMPAQ Computer Corp. 1982,83,84,85-All rights reserved. (ÿÿÿÿÿÿÿÿ, rev. 0)",20000101,BC84,CGA,"Compaq CGA","Compaq Deskpro","resman"
UID1C19147AA9,"Amstrad PC-20",7,2015,792,1976,1020,878,Intel 8086,8,"(c)Sinclair PC200  1988 Amstrad plc rev. 1.5",20000101,1C19,CGA,"CGA","Low profile, Amiga\Atari ST wannabe","fatwizard (VCF)  fatwizard@whappitysnap.com"
UIDC092BE4F,"POISK-2 Soviet PC/XT clone",8,1997,791,33660,1011,882,KR1810VM86M,8,"(C) Maxim Paramonov V2.6 1993 (08/25/93, rev. 2)",19930825,C092,VGA,"VGA, Trident TR8800CS, 768kb Video Memory"," ","Joe Duszynski"
UIDB7F334B,"XT clone (TurboXT)",8,1945,946,1623,1001,1074,Intel 8088,8,"(C)Award 1986 IBM COMPATIBLE (01/30/87, rev. 0)",19870130,B7F3,VGA,"Realtek RTG3106 SVGA 512kb","All benchmarks give less than expected results when this motherboard is in Turbo mode"," "
UIDE7FF88D,"Olivetti PC-1",8,1607,960,1900,1175,895,NEC V40,7.16," ",19870820,E7FF,CGA,"CGA","Olivetti Prodest PC-1","Carlsson (VCF)"
UID4E43F18,"Amstrad PC2086",8,2014,781,1711,1022,874,Intel 8086,8,"(C) Copyright 1988 AMSTRAD plc (08/30/88, rev. 1)",19880830,4E43,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video, 8-Bit-ROMfixed-sync, 256kb Vi"," ","b44ccd21 (VCF)"
UID8D6513B363,"Vendex Headstart II",8,1851,882,1743,970,935,Intel 8088,9.54,"Copyright (c) Award Software Inc. (03/18/89, rev. 2)",19890318,8D65,CGA,"CGA"," ","Chris Martin"
UID95CB1611,"Commodore PC10-III",8,1851,882,1669,970,926,Intel 8088,10,"Copyright 1987,1988 Commodore Electronics Ltd. (09/08/88, rev. 0)",19880908,95CB,VGA,"VGAOAK OTI037C, 256kb Video Memory (BIOS)","ctrl+alt+d (double speed mode)","wormetti@gmail.com twitter.com/wormetti"
UID907D16BFFB,"Panasonic Executive Partner (Fast Speed)",8,2178,866,1109,1134,969,Intel 8086,7.16,"Copyright Matsushita Electric Industrial Co.,Ltd. 1984, 1985",20000101,907D,CGA,"CGA"," ","trixter@oldskool.org"
UID86A252875,"AT&T 6300 PC",8,2143,838,1049,1115,925,Intel 8086,8," ",19860403,86A2,CGA,"AT&T/Olivetti (Color Monitor)"," ","trixter@oldskool.org"
UID4130B77E,"Superwave PC/XT clone (turbo)",8,1788,840,1553,926,890,Intel 8088,10,"8088 BIOS (C)1987 AMI, for SUPERWAVE ELECTRONIC CO., LTD. (05/06/87, rev. 0)",19870506,4130,MDA,"Hercules","CTRL-ALT-MINUS (keypad) toggles between regular and turbo","trixter@oldskool.org"
UID77F313C2F5,"Schneider Euro PC (PC/XT)",8,1851,878,1346,967,932,Intel 8088,9.54,"EURO PC BIOS V2.08B",19890411,77F3,MDA,"Hercules/CGA on board","set to 9.54 MHz and Mono","RobertK (VCF)"
UIDA799766E,"XT clone (PIM-TB10-Z)",8,1776,835,1535,922,886,NEC V20,10,"ERSO/BIOS 2.39 (C) 1986 (01/01/81, rev. 0)",19810101,A799,EGA,"EGA","70108-10 processor on a PIM-TB10-Z motherboard"," "
UIDF8B325BF,"IBM PS/2 Model 30",8,1926,763,1299,993,854,Siemens 8086-2-P,8,"XXXXXXX COPR. IBM 1981, 1987    PARITY CHECK 1 (01/31/89, rev. 4)",19890131,F8B3,MCGA,"MCGA","Intel D8087-2 co-processor installed","Samuel Capps"
UIDF8B39582,"IBM PS/2 Model 30",9,1892,750,1259,976,846,Siemens 8086-2-P,8,"XXXXXXX COPR. IBM 1981, 1987    PARITY CHECK 1 (01/31/89, rev. 4)",19890131,F8B3,MCGA,"MCGA","Factory configuration","Samuel Capps"
UIDB69D89F,"IBM PS/2 Model 25/25L",9,1889,740,1263,976,839,Intel 8086,8,"COPR. IBM 1981, 1987 (06/26/87, rev. 0)",19870626,B69D,MCGA,"MCGA"," ","mbbrutman"
UID54AE1F0B,"XT clone (PC XTRA)",9,1786,835,1151,924,882,Intel 8088,10," ",19870601,54AE,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 8-Bit-ROMfixed-sync, VESA, 5","PC XTRA/PROFESSIONALS SERIES (IDE controller ADP50 with CF 520 and a 10 GB HDD, onboard 3.5 720 Floppy support,video Paradise 16-bit in 8-bit model,onboard ISA raised 8-bit board 4-ISA slots, SB 2.0) running Caldera 6.0","Jonas Thörnvall"
UIDA799F99,"XT clone (PIM-TB10-Z)",9,1777,831,1054,919,881,Intel 8088,10,"ERSO/BIOS 2.39 (C) 1986 (01/01/81, rev. 0)",19810101,A799,VGA,"OAK OTI-077, 512kb Video Memory"," "," "
UID44F2A2B,"IBM PCjr (memory expansion, NEC V20, 8MHz)",9,1440,873,1273,1060,805,NEC V20,8,"COPR. IBM 1981,1983 (06/01/83, rev. 0)",19830601,44F2,CGA,"IBM PCjr (8MHz V20)","Its a dual 8284 turbo switch hack to use two crystals one at 14 Mhz and one at 24 Mhz. I could probably get it to go a little faster but a 29Mhz crystal was to much for the floppy controller and I don't have anything between 24 and 29.","hexsane (VCF)"
UID9C185346E,"Toshiba T1200",9,1691,655,1370,854,729,Intel 80c86,9.54,"T1200   V4.00   TOSHIBA  (12/26-87, rev. 0)",19871226,9C18,CGA,"CGA"," ","trixter@oldskool.org"
VID826E156ADC,"HP 200LX",9,2181,788,462,1040,709,80186,7.91,"Copyright 1984,1985 Phoenix Software Associates LTD (05/24/94 rev.1)",19940524,826E,CGA,"CGA","Palmtop PC.  CPU is HP Hornet, 80186-compatible.","Raccoonrider avermakov@list.ru"
UIDE3A29D5,"Compaq Portable (Orchid TinyTurbo 286)",10,1291,1219,1690,1627,1113,Intel 80286,7.16,"(C) Copyright COMPAQ Computer Corporation, 1983, All rights reserved.",20000101,E3A2,CGA,"Compaq CGA","Compaq Portable XT (Orchid TinyTurbo 286)","resman"
UID12F5DAC,"AT&T 6300 WGS",10,1657,651,1317,856,711,Intel 8086,10,"COPYRIGHT (C) OLIVETTI 01/14/88 (01/14/88, rev. 1)",19880114,12F5,VGA,"Paradise PVGA1A"," ","trixter@oldskool.org"
UID826E11ACAF,"HP 200LX",10,2182,731,460,1040,720,Intel 80186,7.91,"Copyright 1984,1985  Phoenix Software Associates Ltd (05/24/94, rev. 1)",19940524,826E,CGA,"CGA"," ","Eric Rucker <bhtooefr@bhtooefr.org>"
UID3541DAF7B,"Goldstar Turbo Plus-2",10,1455,884,843,1076,815,NEC V20,8,"custom bios from phatcode",20120502,3541,VGA,"VGA, Tseng ET 4000, DRAM, 512kb Video Memory","mary4 is a very fast and powerful IBM XT clone it uses a gold star technology turbo plus-2 as the motherboard","sparky4"
UIDBC8412DD,"Compaq Deskpro (NEC V30)",10,1390,688,1468,859,646,NEC V30,7.16,"CRJ (C)Copyright COMPAQ Computer Corp. 1982,83,84,85-All rights reserved. (ÿÿÿÿÿÿÿÿ, rev. 0)",20000101,BC84,CGA,"Compaq CGA","Compaq Deskpro (NEC V30)","resman"
UID502922B2,"IBM PC/XT (Make-it-486)",11,977,1192,1895,1597,1092,Cyrix/TI 486-class processor,33,"62X0890 COPR. IBM 1986 (05/09/86, rev. 2)",19860509,5029,CGA,"CGA","Orchid Tiny Turbo with Make-it-486 CPU installed","DeathAdderSF"
UID3B851352,"IBM PC 5150 (Orchid Tiny Turbo 286)",11,1318,1258,1325,1661,1132,Intel 80286,7.16,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video, 8-Bit-ROMfixed-sync, 256kb vram"," ","JDT"
UID9890754,"Tandy 1000 SX (286 Express Card)",11,1321,1276,1232,1682,1153,Intel 80286,7.16," ",19860714,9890,CGA,"Tandy 1000","Tandy 1000SX w/ 286 Express Card (80286 @ 7.16MHz), Cache On (8KB)","Great Hierophant"
UID44F21E0,"IBM PCjr (FPGA)",11,1098,607,1818,600,532,MCL86 (FPGA),100,"COPR. IBM 1981,1983 (06/01/83, rev. 0)",19830601,44F2,CGA,"IBM PCjr","PCjr whose processor is replaced with an FPGA containing the MCL86 core that runs faster than the stock 8088 as well as an additional 128KB of on-FPGA memory that is accessed at the CPU core speed of 100Mhz."," "
UID9ADE6C8,"AMD 286 Clone",11,1247,538,1480,705,529,Am286,6,"IBM COMPATIBLE 286 BIOS COPYRIGHT Award Software Inc.Software Inc. (04/30/87, rev. 0)",19870430,9ADE,VGA,"VGA, Everex ViewPoint EV-673, 256kb Video Memory (BIOS), Early VGA Card (1987)","8MHz chip underclocked, no FPU, 640KB DIP RAM, Maxtor XT 760MB HDD (ESDI). Often compared to a 5170.","High Treason (HighTreason610)"
UID6DBA12B5A1,"IBM PC/AT",11,1245,542,1477,705,526,Intel 80286,6,"COPR. IBM 1984 (01/10/84, rev. 0)",19840110,6DBA,EGA,"EGA","My first model IBM 5170.  All parts are IBM supplied. Clean boot. Tool run from C:","modem7 (VCF)"
UID8BC62D9,"Tandy 1000 RL",11,1581,615,754,811,698,Intel 8086,9.54,"Copyright (C) 1984,1985,1986,1987,1988 (05/08/90, rev. 16)",19900508,8BC6,CGA,"Tandy 1000 SL/TL"," ","commodorejohn (VCF)"
UID99B515464A,"Applied Engineering Apple II PC Transporter",12,1860,1149,1047,1360,1110,NEC V30,7.16,"COPYRIGHT LITTLE BLUE LTD., 1986-88   COPYRIGHT APPLIED ENGINEERING, 1987   Version 1.3 (07/03/87, rev. 0)",19870703,99B5,CGA,"CGA"," "," "
UIDA2BEBDD1,"AT&T 6300 PC (NEC V30)",12,1324,672,785,874,635,NEC V30,8,"COPYRIGHT (C)   OLIVETTI 1984    (04/03/86, rev. 244)",19860403,A2BE,CGA,"AT&T PC 6300/M24 400-line CGA"," "," "
UIDB69D2DD,"IBM PS/2 Model 25/25L (NEC V30)",12,1214,602,949,778,571,NEC V30,8,"COPR. IBM 1981, 1987 (06/26/87, rev. 0)",19870626,B69D,MCGA,"MCGA","IBM PS/2 Model 25, NEC V30 16-Bit 8MHz, 640KB RAM, MCGA Graphics, 128MB Compact Flash, MS-DOS 6.22","evildragon"
UIDEE0A144CDE,"Commodore PC40-II @ 6 MHz HGC",12,1263,540,1041,719,534,Intel 80286,6,"80286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines (08/25/88, rev. 0)",19880825,EE0A,MDA,"Hercules InColor Card"," ","kolrabi"
UIDEE0A1489C9,"Commodore PC40-III @ 6 MHz VGA",12,1263,540,949,719,533,Intel 80286,6,"80286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines (08/25/88, rev. 0)",19880825,EE0A,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video, 8-Bit-ROMfixed-sync, 256kb Vi"," ","kolrabi"
UID3B85189F,"IBM PC 5150 (MACH 20)",13,1263,1647,1406,2159,1549,Intel 80286,8,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video","ERZO_DOS_320.  5150 Rev B.","CIMONVG"
UIDC2379450,"XT clone (Juko)",13,1050,626,899,766,577,NEC V20,11,"Copyright 1988 Juko Electronics Industrial Co.,Ltd. (05/17/88, rev. 0)",19880517,C237,VGA,"VGA, ATI 28800-5VGAWonderBios : 0.1, 256kb Video Memory (BIOS)","V20 xt motherboard - the JUKO type with 1Mb RAM"," "
UID7D9417F3E,"Tandy 1000 SL",13,1184,594,603,743,570,NEC V30,8,"unknown",19880622,7D94,VGA,"VGA, Tseng ET 4000, DRAM, 1024kb Video Memory"," ","Cloudschatze"
UID35CB359,"IBM PC/AT 319 or 339, 8MHz",13,923,397,1470,514,388,Intel 80286,8,"COPR. IBM 1981, 1985 (11/15/85, rev. 0)",19851115,35CB,EGA,"EGA"," ","modem7 (VCF)"
UID12F5544,"AT&T 6300 WGS (NEC V30)",13,1027,513,1007,648,494,NEC V30,10,"COPYRIGHT (C) OLIVETTI 01/14/88 (01/14/88, rev. 1)",19880114,12F5,VGA,"Paradise PVGA1A"," ","trixter@oldskool.org"
UIDB444D0F28,"Tandy 1000 TL",15,1034,463,1029,598,456,Intel 80286,8," ",19880615,B444,CGA,"Tandy 1000 SL/TL"," ","trixter@oldskool.org"
UIDAFD683E,"Tandy 1000 TX",15,1004,429,926,568,424,Intel 80286,8," ",19870515,AFD6,CGA,"Tandy 1000"," ","trixter@oldskool.org"
UID479261CC,"Sergey's XT 1.0",15,847,507,806,617,470,NEC V20HL,13.33," ",20101130,0479,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video, 8-Bit-ROMfixed-sync, 256kb Vram","the result for my board (Sergey's XT 1.0) with V20HL CPU running on 13.3(3) MHz:","sergey (VCF)"
UIDCB6B34604,"IBM PC/XT (With Breakthrough 286)",16,996,1436,1186,1924,1367,Intel 80286,12,"COPR. IBM 1981 (11/08/82, rev. 0)",19821108,CB6B,VGA,"VGA","IBM PC/XT with a Breakthrough 286 upgrade card","Compgeke"
UIDEE0A144471,"Commodore PC40-III @ 8MHz HGC",16,939,401,993,528,397,Intel 80286,8,"80286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines (08/25/88, rev. 0)",19880825,EE0A,MDA,"Hercules InColor Card"," ","kolrabi"
UIDEE0A148302,"Commodore PC40-III @ 8 MHz VGA",16,939,402,821,528,397,Intel 80286,8,"80286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines (08/25/88, rev. 0)",19880825,EE0A,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video, 8-Bit-ROMfixed-sync, 256kb Vi"," ","kolrabi"
UID7D42356,"IBM PS/2 Model 30-286",17,736,313,1291,408,307,Intel 80286,10,"COPR. IBM 1981, 1989 (06/28/89, rev. 2)",19890628,7D42,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)","IBM model 8530-h31","Cimonvg (VCF)"
UIDC6074502E,"Amiga 80286 Bridgeboard",17,924,398,684,517,391,Intel 80286,8,"A2286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines Version 3.6 (09/xx/88, rev. 0)",19880901,C607,CGA,"CGA"," "," "
UID9C90130B0F,"IBM PS/1 Model 2011",17,736,315,1116,408,305,Intel 80286,10,"COPR. IBM 1981, 1989 (02/16/90, rev. 0)",19900216,9C90,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)","IBM PS/1 Model 2011 80286 10 MHz (verified 10.0 MHz with Open Logic Sniffer)"," "
UID32D4CC774,"IBM PC/XT-286",18,1036,406,343,502,425,Intel 80286,6,"COPR. IBM 1981, 1986 (04/21/86, rev. 0)",19860421,32D4,VGA,"VGA, Tseng ET 4000 with HiColor RAMDAC, DRAM, 1024kb Video Memor","IBM XT/286, 80287XL, ET4000, Above board with 1.5meg, AWE64G(!)","b44ccd21 (VCF)"
UID495E12B381,"IBM PS/2 Model 50Z 286-10",19,618,239,1240,304,253,Intel 80286,10,"COPR. IBM 1981, 1987 (04/18/88, rev. 3)",19880418,495E,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)"," ","wormetti@gmail.com twitter.com/wormetti"
UID936F105690,"GRiDCASE 1520",19,737,314,880,410,309,Intel 80286,10,"Copyright (c) 1985,1986 Phoenix Technologies Ltd (07/11/88, rev. 0)",19880711,936F,CGA,"CGA"," ","John  O'Callaghan"
UID88C72FE,"Sega Tera Drive (M3)",21,755,320,584,429,314,AMD 80286 (N80L286-10/S),10,"COPR. IBM 1981, 1991 (03/22/91, rev. 0)",19910322,88C7,VGA,"VGA, Paradise PVGA1A (WDC), 16-Bit-Video, 8-Bit-ROM fixed-sync, 256kb","2.5MB SIMM, 30MB HDD, Lots of proprietary stuff...","High Treason (HighTreason610)"
UID547117B798,"Compaq Portable III",21,624,265,852,348,263,Intel 80286,12,"(C)Copyright COMPAQ Computer Corporation 1982,83,84,85,86,87,88 (11/14/88, rev. 0)",19881114,5471,CGA,"Compaq Portable III (Internal Plasma)"," ","triter@oldskool.org"
UID152010882A,"IBM PS/2 Model 55SX",21,475,201,1149,265,196,Intel 80386SX,16,"COPR. IBM 1981, 1988 (11/02/88, rev. 0)",19881102,1520,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)"," ","nestor (VCF)"
